SUID,univid,response
1140,5c9e3a0b34cda4f3677e1989,Specialization
1140,5c9e3a5934cda4f3677e1a09,Practical relevance / professionalization
1140,5c9e361e34cda4f3677e131d,Internationality
1140,5c9e4c6234cda4f3677e378d,Internationality
1140,5c9e4b8634cda4f3677e3621,Internationality
577,5c9e4dfb34cda4f3677e3a15,Soft skills and digital literacy
577,5c9e645734cda4f3677e51ab,Specialization
577,5c9e6c1634cda4f3677e5dcf,Academic excellence
1097,5c9e4dfb34cda4f3677e3a15,Internationality
1097,5c9e3bc934cda4f3677e1c63,Soft skills and digital literacy
1097,5c9e677634cda4f3677e5643,Soft skills and digital literacy
1097,5c9e41e234cda4f3677e264d,Soft skills and digital literacy
1097,5e84b7141ead1a77be3bd39c,Soft skills and digital literacy
1097,5c9e63c734cda4f3677e50c3,Soft skills and digital literacy
1097,5c9e4dfa34cda4f3677e3a13,Soft skills and digital literacy
1097,5c9e8aa234cda4f3677e7365,Soft skills and digital literacy
1097,5e8c6ef9dc39552aa1e7bdfc,Soft skills and digital literacy
1097,5c9e3fc234cda4f3677e22e5,Soft skills and digital literacy
1097,5c9e496834cda4f3677e32a1,Soft skills and digital literacy
1097,5c9e3c9c34cda4f3677e1dbd,Soft skills and digital literacy
2256,5c9e3aee34cda4f3677e1afd,Specialization
2256,5c9e3aec34cda4f3677e1af9,Specialization
2256,5c9e3ab234cda4f3677e1a9b,Internationality
2256,5c9e3a5934cda4f3677e1a09,Soft skills and digital literacy
2256,5c9e39fd34cda4f3677e1971,Soft skills and digital literacy
2256,5e84a9f41ead1a77be3bd385,Soft skills and digital literacy
2256,5e84a9f41ead1a77be3bd385,Soft skills and digital literacy
2256,5c9e37ba34cda4f3677e15bf,Soft skills and digital literacy
2256,5c9e361e34cda4f3677e131d,Soft skills and digital literacy
2256,5c9e4b8f34cda4f3677e362f,Soft skills and digital literacy
2256,5c9e4b8a34cda4f3677e3629,Specialization
2256,5c9e49df34cda4f3677e3365,Specialization
2256,5c9e42ad34cda4f3677e279b,Specialization
2256,5c9e5c9634cda4f3677e44fb,Specialization
2256,5c9e635334cda4f3677e5005,Specialization
2256,5c9e8f7734cda4f3677e795b,Internationality
1856,5e84b6351ead1a77be3bd39a,Specialization
1856,5c9e7dd034cda4f3677e6bcd,Internationality
1856,5c9e470a34cda4f3677e2ec3,Internationality
1856,5c9e7cb934cda4f3677e69ff,Soft skills and digital literacy
1856,5c9e5a3234cda4f3677e4111,Soft skills and digital literacy
1856,5c9e515e34cda4f3677e3fa7,Soft skills and digital literacy
1856,5e85b1eee7d33897f89a8d22,Internationality
1856,5c9e636734cda4f3677e5027,Academic excellence
1856,5c9e49df34cda4f3677e3365,Academic excellence
1856,5c9e5c9634cda4f3677e44fb,Soft skills and digital literacy
2226,5c9e7c4034cda4f3677e6937,Internationality
2226,5c9e7e5734cda4f3677e6ca9,Internationality
2226,5c9e641a34cda4f3677e5149,Soft skills and digital literacy
2226,5c9e7a1634cda4f3677e65a3,Soft skills and digital literacy
2226,5c9e61c534cda4f3677e4d7f,Specialization
2226,5c9e4d6a34cda4f3677e3927,Internationality
2226,5c9e5a3234cda4f3677e4111,Soft skills and digital literacy
2226,5c9e409034cda4f3677e242b,Internationality
2226,5c9e67de34cda4f3677e56ed,Specialization
2226,5c9e61c234cda4f3677e4d7b,Practical relevance / professionalization
727,5e8c6df1dc39552aa1e7bdf3,Specialization
727,5c9e5c6c34cda4f3677e44b7,Practical relevance / professionalization
727,5c9e371c34cda4f3677e14b9,Practical relevance / professionalization
727,5c9e398d34cda4f3677e18c1,Practical relevance / professionalization
727,5c9e345f34cda4f3677e1047,Internationality
727,5c9e5bc734cda4f3677e43a7,Academic excellence
727,5c9e3ffb34cda4f3677e233b,Practical relevance / professionalization
727,5c9e4f5034cda4f3677e3c4f,Specialization
727,5c9e7cb934cda4f3677e69ff,Academic excellence
727,5c9e515e34cda4f3677e3fa7,Practical relevance / professionalization
382,5c9e70bd34cda4f3677e621f,Internationality
382,5c9e5b5e34cda4f3677e42fb,Soft skills and digital literacy
382,5e84b7141ead1a77be3bd39c,Soft skills and digital literacy
382,5c9e496834cda4f3677e32a1,Soft skills and digital literacy
382,5c9e6b2334cda4f3677e5c47,Practical relevance / professionalization
382,5c9e67db34cda4f3677e56e9,Soft skills and digital literacy
382,5e85b1eee7d33897f89a8d22,Soft skills and digital literacy
382,5c9e65e134cda4f3677e539d,Internationality
382,5c9e639034cda4f3677e5069,Soft skills and digital literacy
382,5c9e636734cda4f3677e5027,Soft skills and digital literacy
323,5c9e4dfb34cda4f3677e3a15,Specialization
323,5c9e7d6034cda4f3677e6b19,Specialization
